species,concentration_index,endemicity_index
Agapanthus africanus,0.020833333333333332,0.0
Agapetes acuminata,0.020833333333333332,0.0
Agapetes angulata,0.020833333333333332,0.0
Agapetes anonyma,0.020833333333333332,0.0
Agapetes atrosanguinea,0.020833333333333332,0.0
Agapetes bhareliana,0.020833333333333332,0.0
Agapetes buxifolia,0.020833333333333332,0.0
Agapetes dalaiensis,0.020833333333333332,0.0
Agapetes flava,0.020833333333333332,0.0
Agapetes forrestii,0.020833333333333332,0.0
Agapetes interdicta,0.020833333333333332,0.0
Agapetes linearifolia,0.020833333333333332,0.0
Agapetes lobbii,0.020833333333333332,0.0
Agapetes mannii,0.041666666666666664,0.6365141682948128
Agapetes megacarpa,0.020833333333333332,0.0
Agapetes neriifolia,0.020833333333333332,0.0
Agapetes obovata,0.041666666666666664,0.6365141682948128
Agapetes odontocera,0.020833333333333332,0.0
Agapetes parishii,0.020833333333333332,0.0
Agapetes pensilis,0.020833333333333332,0.0
Agapetes rubropedicellata,0.0,0.0
Agapetes serpens,0.08333333333333333,0.8461447967228176
Agapetes setigera,0.041666666666666664,0.5623351446188083
Agapetes spissa,0.020833333333333332,0.0
Agardhiella subulata,0.0,0.0
Agasthiyamalaia pauciflora,0.08333333333333333,1.277034259466139
Agathis robusta,0.041666666666666664,0.6931471805599453
Agave americana,0.3541666666666667,2.6108362060963555
Agave amica,0.0625,1.0397207708399179
Agave decipiens,0.020833333333333332,0.0
Agave salmiana,0.020833333333333332,0.0
Agave sisalana,0.1875,2.1639556568820564
Agave vivipara,0.125,1.7351264569629226
Agave weberi,0.020833333333333332,0.0
Ageratina adenophora,0.2916666666666667,2.0670265882706578
Ageratina mairetiana,0.020833333333333332,0.0
Ageratina riparia,0.041666666666666664,0.34883209584303193
Ageratum conyzoides,0.6041666666666666,2.796187624262861
Ageratum houstonianum,0.4583333333333333,2.548801479805407
Aglaia anomallayanum,0.020833333333333332,0.0
Aglaia apiocarpa,0.020833333333333332,0.0
Aglaia chittagonga,0.0625,1.0986122886681096
Aglaia cucullata,0.020833333333333332,0.0
Aglaia edulis,0.0625,1.0986122886681096
Aglaia elaeagnoidea,0.16666666666666666,1.6591623193871186
Aglaia exstipulata,0.020833333333333332,0.0
Aglaia lawii,0.08333333333333333,1.0335620542068176
Aglaia macrocarpa,0.020833333333333332,0.0
Aglaia odoratissima,0.020833333333333332,0.0
Aglaia oligophylla,0.041666666666666664,0.6365141682948128
Aglaia perviridis,0.020833333333333332,0.0
Aglaia silvestris,0.020833333333333332,0.34657359027997264
Aglaia simplicifolia,0.08333333333333333,0.5445996236821669
Aglaia spectabilis,0.041666666666666664,0.6365141682948128
Aglaia tomentosa,0.041666666666666664,0.5623351446188083
Aglaonema commutatum,0.041666666666666664,0.6365141682948128
Aglaonema costatum,0.041666666666666664,0.6931471805599453
Aglaonema marantifolium,0.020833333333333332,0.0
Aglaonema pictum,0.020833333333333332,0.0
Aglaothamnion cordatum,0.020833333333333332,0.0
Agrimonia eupatoria,0.0625,0.9438267466893242
Agrimonia pilosa,0.10416666666666667,0.8492687260615328
Agropyron thomsonii,0.0625,1.0114042647073518
Agrostemma githago,0.020833333333333332,0.0
Agrostis barikii,0.041666666666666664,0.5623351446188083
Agrostis canina,0.0625,1.0986122886681096
Agrostis filipes,0.041666666666666664,0.6931471805599453
Agrostis gigantea,0.0625,0.559834325921902
Agrostis griffithiana,0.10416666666666667,1.6094379124341005
Agrostis hookeriana,0.08333333333333333,1.3862943611198906
Agrostis inaequiglumis,0.041666666666666664,0.6931471805599453
Agrostis micrantha,0.10416666666666667,1.4941751382893083
Agrostis munroana,0.08333333333333333,1.2798542258336676
Agrostis nervosa,0.020833333333333332,0.0
Agrostis peninsularis,0.0625,1.0986122886681096
Agrostis pilosula,0.1875,2.0584610623699335
Agrostis stolonifera,0.10416666666666667,1.4708084763221112
